Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,
12749,2/10/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,2/11/2026 12:00:00 AM,6:06AM,,17:54:00,LBS    ,10173.000,10173.000,0.000,Plus Materials                                    ,,337.7500,337.7500,0.0000,,,206,0,
12753,2/10/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,2/11/2026 12:00:00 AM,6:07AM,,17:53:00,LBS    ,9568.000,7895.000,1673.000,Plus Materials                                    ,,315.9400,794.3500,478.4000,,,30,6,
12754,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/12/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,8877.000,8877.000,0.000,Plus Materials                                    ,,2.7700,2.7700,0.0000,,,10,8,
12755,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/12/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,2289.000,2289.000,0.000,Plus Materials                                    ,,172.1464,172.1500,0.0000,,,24,0,
12758,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/12/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,7000.000,7000.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,13,0,
12760,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/12/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,5496.000,5496.000,0.000,Plus Materials                                    ,,94.3600,94.3600,0.0000,,,3,0,
12761,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/12/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,1554.000,1554.000,0.000,Plus Materials                                    ,,15.5400,15.5400,0.0000,,,0,14,
12762,2/11/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/12/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,5677.000,5677.000,0.000,Plus Materials                                    ,,342.6100,342.6200,0.0000,,,56,0,
12764,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/12/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,6706.000,6706.000,0.000,Plus Materials                                    ,,469.4200,469.4200,0.0000,,,0,0,
12768,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/12/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,5044.000,5044.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12770,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/12/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,5532.000,5532.000,0.000,Plus Materials                                    ,,387.2400,387.2400,0.0000,,,0,0,
12772,2/11/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/12/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,9074.000,9074.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,30,0,
12778,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/12/2026 12:00:00 AM,5:58AM,,18:02:00,LBS    ,6442.000,6442.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,13,0,
12780,2/11/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,2/12/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,7584.000,7584.000,0.000,Plus Materials                                    ,,12.9200,12.9200,0.0000,,,15,0,
12784,2/11/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,2/12/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,1974.000,2550.000,-576.000,Plus Materials                                    ,,79.2000,177.9000,98.7000,,,7,2,
12785,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/13/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,7156.000,7156.000,0.000,Plus Materials                                    ,,500.9200,500.9200,0.0000,,,204,8,
12786,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/13/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,2155.000,2155.000,0.000,Plus Materials                                    ,,78.0551,78.0500,0.0000,,,20,0,
12789,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/13/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,8465.000,8465.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,1,
12791,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/13/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,6733.000,6733.000,0.000,Plus Materials                                    ,,471.3100,471.3100,0.0000,,,11,0,
12792,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/13/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,1327.000,1327.000,0.000,Plus Materials                                    ,,74.9701,74.9700,0.0000,,,0,9,
12793,2/12/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/13/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,10575.000,10575.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,7,
12795,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/13/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,6425.000,6425.000,0.000,Plus Materials                                    ,,42.1100,42.1100,0.0000,,,9,0,
12799,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/13/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,8548.000,8548.000,0.000,Plus Materials                                    ,,598.3600,598.3600,0.0000,,,0,0,
12801,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/13/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,6443.000,6443.000,0.000,Plus Materials                                    ,,451.0100,451.0100,0.0000,,,0,0,
12803,2/12/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/13/2026 12:00:00 AM,5:58AM,,18:02:00,LBS    ,10474.000,10474.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12809,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/13/2026 12:00:00 AM,5:58AM,,18:02:00,LBS    ,5910.000,5910.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12811,2/12/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,2/13/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,8436.000,8436.000,0.000,Plus Materials                                    ,,253.0800,253.0800,0.0000,,,13,0,
12815,2/12/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,2/13/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,8280.000,8515.000,-235.000,Plus Materials                                    ,,483.2300,897.2400,414.0000,,,18,6,
12816,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/16/2026 12:00:00 AM,6:01AM,,17:59:00,LBS    ,4835.000,4835.000,0.000,Plus Materials                                    ,,96.2661,96.2600,0.0000,,,1,4,
12817,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/16/2026 12:00:00 AM,6:01AM,,17:59:00,LBS    ,1652.000,1652.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12820,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/16/2026 12:00:00 AM,6:01AM,,17:59:00,LBS    ,8407.000,8407.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,13,0,
12822,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/16/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,8424.000,8424.000,0.000,Plus Materials                                    ,,625.7730,625.7600,0.0000,,,11,2,
12823,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/16/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,1267.000,1267.000,0.000,Plus Materials                                    ,,12.6700,12.6700,0.0000,,,0,9,
12824,2/13/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/16/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,6825.000,6825.000,0.000,Plus Materials                                    ,,989.6250,989.6300,0.0000,,,0,5,
12826,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/16/2026 12:00:00 AM,6:03AM,,17:57:00,LBS    ,4518.000,4518.000,0.000,Plus Materials                                    ,,768.0700,768.0600,0.0000,,,0,0,
12830,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/16/2026 12:00:00 AM,6:04AM,,17:56:00,LBS    ,9850.000,9850.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12832,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/16/2026 12:00:00 AM,6:04AM,,17:56:00,LBS    ,6459.000,6459.000,0.000,Plus Materials                                    ,,465.0110,465.0100,0.0000,,,0,0,
12834,2/13/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/16/2026 12:00:00 AM,6:05AM,,17:55:00,LBS    ,2110.000,2110.000,0.000,Plus Materials                                    ,,116.0461,116.0400,0.0000,,,3,0,
12840,2/13/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/16/2026 12:00:00 AM,6:06AM,,17:54:00,LBS    ,3034.000,3034.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,1,
12846,2/13/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,2/16/2026 12:00:00 AM,6:07AM,,17:53:00,LBS    ,2105.000,3350.000,-1245.000,Plus Materials                                    ,,125.2900,230.5400,105.2500,,,8,2,
12847,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/17/2026 12:00:00 AM,5:06AM,,18:54:00,LBS    ,1448.000,1448.000,0.000,Plus Materials                                    ,,86.0608,86.0600,0.0000,,,3,1,
12848,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/17/2026 12:00:00 AM,5:07AM,,18:53:00,LBS    ,1256.000,1256.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12851,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/17/2026 12:00:00 AM,5:07AM,,18:53:00,LBS    ,6347.000,6347.000,0.000,Plus Materials                                    ,,444.2900,444.2900,0.0000,,,7,0,
12853,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/17/2026 12:00:00 AM,5:07AM,,18:53:00,LBS    ,11713.000,11713.000,0.000,Plus Materials                                    ,,565.1800,565.1700,0.0000,,,205,0,
12854,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/17/2026 12:00:00 AM,5:07AM,,18:53:00,LBS    ,1156.000,1156.000,0.000,Plus Materials                                    ,,96.0355,96.0300,0.0000,,,10,8,
12855,2/16/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/17/2026 12:00:00 AM,5:08AM,,18:52:00,LBS    ,2515.000,2515.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12857,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/17/2026 12:00:00 AM,5:08AM,,18:52:00,LBS    ,6558.000,6558.000,0.000,Plus Materials                                    ,,-3.2313,-3.2200,0.0000,,,0,0,
12861,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/17/2026 12:00:00 AM,5:09AM,,18:51:00,LBS    ,9730.000,9730.000,0.000,Plus Materials                                    ,,681.1000,681.1000,0.0000,,,12,0,
12863,2/16/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/17/2026 12:00:00 AM,5:09AM,,18:51:00,LBS    ,10225.000,10225.000,0.000,Plus Materials                                    ,,605.9900,605.9800,0.0000,,,10,0,
12865,2/16/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/17/2026 12:00:00 AM,5:09AM,,18:51:00,LBS    ,1297.000,1297.000,0.000,Plus Materials                                    ,,109.6385,109.6400,0.0000,,,50,0,
12877,2/16/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,2/17/2026 12:00:00 AM,5:11AM,,18:49:00,LBS    ,28750.000,10360.000,18390.000,Plus Materials                                    ,,3958.8900,5396.3900,1437.5000,,,63,6,
12878,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/18/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,7626.000,7626.000,0.000,Plus Materials                                    ,,160.9520,160.9400,0.0000,,,1,8,
12879,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/18/2026 12:00:00 AM,5:55AM,,18:05:00,LBS    ,1596.000,1596.000,0.000,Plus Materials                                    ,,28.9501,28.9500,0.0000,,,0,0,
12882,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/18/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,8125.000,8125.000,0.000,Plus Materials                                    ,,568.7500,568.7500,0.0000,,,4,0,
12884,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/18/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,6911.000,6911.000,0.000,Plus Materials                                    ,,140.8100,140.8100,0.0000,,,0,1,
12885,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/18/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,1342.000,1342.000,0.000,Plus Materials                                    ,,13.4200,13.4200,0.0000,,,0,12,
12886,2/17/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/18/2026 12:00:00 AM,5:56AM,,18:04:00,LBS    ,2479.000,2479.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12888,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/18/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,5060.000,5060.000,0.000,Plus Materials                                    ,,-21.3300,-21.3300,0.0000,,,16,0,
12892,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/18/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,8998.000,8998.000,0.000,Plus Materials                                    ,,89.9800,89.9800,0.0000,,,0,0,
12894,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/18/2026 12:00:00 AM,5:57AM,,18:03:00,LBS    ,1652.000,1652.000,0.000,Plus Materials                                    ,,-115.6400,-115.6400,0.0000,,,4,0,
12896,2/17/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/18/2026 12:00:00 AM,5:58AM,,18:02:00,LBS    ,2609.000,2609.000,0.000,Plus Materials                                    ,,-5.2500,-5.2500,0.0000,,,21,0,
12902,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/18/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,5748.000,5748.000,0.000,Plus Materials                                    ,,57.4800,57.4800,0.0000,,,0,0,
12904,2/17/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,2/18/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,7003.000,7003.000,0.000,Plus Materials                                    ,,467.4684,467.4600,0.0000,,,12,0,
12909,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/19/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,7381.000,7381.000,0.000,Plus Materials                                    ,,-73.8100,-73.8100,0.0000,,,22,6,
12910,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/19/2026 12:00:00 AM,5:59AM,,18:01:00,LBS    ,1206.000,1206.000,0.000,Plus Materials                                    ,,127.7247,127.7300,0.0000,,,0,0,
12913,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/19/2026 12:00:00 AM,6:00AM,,18:00:00,LBS    ,8002.000,8002.000,0.000,Plus Materials                                    ,,152.7937,152.8100,0.0000,,,1,0,
12915,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/19/2026 12:00:00 AM,6:00AM,,18:00:00,LBS    ,9298.000,9298.000,0.000,Plus Materials                                    ,,-433.2300,-433.2200,0.0000,,,1,0,
12916,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/19/2026 12:00:00 AM,6:00AM,,18:00:00,LBS    ,907.000,907.000,0.000,Plus Materials                                    ,,58.5121,58.5200,0.0000,,,0,7,
12917,2/18/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2/19/2026 12:00:00 AM,6:00AM,,18:00:00,LBS    ,3458.000,3458.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,80,0,
12919,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,2/19/2026 12:00:00 AM,6:01AM,,17:59:00,LBS    ,10116.000,10116.000,0.000,Plus Materials                                    ,,210.0725,210.0700,0.0000,,,10,0,
12923,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2/19/2026 12:00:00 AM,6:01AM,,17:59:00,LBS    ,8120.000,8120.000,0.000,Plus Materials                                    ,,-324.8000,-324.8000,0.0000,,,5,0,
12925,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2/19/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,7633.000,7633.000,0.000,Plus Materials                                    ,,-29.5200,-29.5300,0.0000,,,360,0,
12926,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (2ND SHIFT),Posted,2/19/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,2828.000,2828.000,0.000,Plus Materials                                    ,,28.2800,28.2800,0.0000,,,0,0,
12927,2/18/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,2/19/2026 12:00:00 AM,6:02AM,,17:58:00,LBS    ,2377.000,2377.000,0.000,Plus Materials                                    ,,142.6200,142.6200,0.0000,,,0,0,
12933,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,2/19/2026 12:00:00 AM,6:03AM,,17:57:00,LBS    ,5014.000,5014.000,0.000,Plus Materials                                    ,,-200.5600,-200.5600,0.0000,,,4,0,
12935,2/18/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,2/19/2026 12:00:00 AM,6:03AM,,17:57:00,LBS    ,6395.000,6395.000,0.000,Plus Materials                                    ,,447.6500,447.6500,0.0000,,,0,0,
12940,2/19/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2/20/2026 12:00:00 AM,5:53AM,,18:07:00,LBS    ,7924.000,7924.000,0.000,Plus Materials                                    ,,175.6499,175.6400,0.0000,,,2,5,
12941,2/19/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2/20/2026 12:00:00 AM,5:53AM,,18:07:00,LBS    ,1988.000,1988.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
12944,2/19/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2/20/2026 12:00:00 AM,5:54AM,,18:06:00,LBS    ,8114.000,8114.000,0.000,Plus Materials                                    ,,-324.5600,-324.5600,0.0000,,,5,0,
12946,2/19/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2/20/2026 12:00:00 AM,5:54AM,,18:06:00,LBS    ,5982.000,5982.000,0.000,Plus Materials                                    ,,-334.7400,-334.7400,0.0000,,,10,0,
12947,2/19/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,2/20/2026 12:00:00 AM,5:54AM,,18:06:00,LBS    ,1199.000,1199.000,0.000,Plus Materials                                    ,,11.9900,11.9900,0.0000,,,0,9,
