Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,
15853,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,7/2/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,2290.000,2290.000,0.000,Plus Materials                                    ,,-0.1500,-0.1500,0.0000,,,13,2,
15857,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,7/2/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,9787.000,9787.000,0.000,Plus Materials                                    ,,978.7000,978.7000,0.0000,,,0,0,
15858,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GREEN MAX (NEW) (1ST SHIFT),Posted,7/2/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,2206.000,2206.000,0.000,Plus Materials                                    ,,100.2308,100.2300,0.0000,,,27,0,
15859,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,7/2/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,6025.000,6825.000,-800.000,Plus Materials                                    ,,180.7500,180.7600,0.0000,,,10,0,
15861,7/1/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,7/2/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,5303.000,5303.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
15863,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (2ND SHIFT),Posted,7/2/2026 12:00:00 AM,5:50AM,,18:10:00,LBS    ,2347.000,2347.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,52,0,
15867,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,7/2/2026 12:00:00 AM,5:50AM,,18:10:00,LBS    ,4940.000,4940.000,0.000,Plus Materials                                    ,,148.2000,148.2000,0.0000,,,0,0,
15869,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,7/2/2026 12:00:00 AM,5:51AM,,18:09:00,LBS    ,9209.000,9209.000,0.000,Plus Materials                                    ,,228.7889,228.7900,0.0000,,,0,0,
15871,7/1/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,7/2/2026 12:00:00 AM,5:51AM,,18:09:00,LBS    ,3316.000,3316.000,0.000,Plus Materials                                    ,,33.1600,33.1600,0.0000,,,36,0,
15877,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,7/2/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,5208.000,5208.000,0.000,Plus Materials                                    ,,357.3800,357.3800,0.0000,,,0,0,
15879,7/1/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,7/2/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,5393.000,5393.000,0.000,Plus Materials                                    ,,199.1700,199.1600,0.0000,,,0,0,
15883,7/1/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,7/2/2026 12:00:00 AM,5:53AM,,18:07:00,LBS    ,2800.000,1470.000,1330.000,Plus Materials                                    ,,128.7500,268.7500,140.0000,,,11,1,
15884,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,7/6/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,6514.000,6514.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,52,6,
15888,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,7/6/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,7855.000,7855.000,0.000,Plus Materials                                    ,,281.9263,281.9400,0.0000,,,0,0,
15889,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GREEN MAX (NEW) (1ST SHIFT),Posted,7/6/2026 12:00:00 AM,5:48AM,,18:12:00,LBS    ,1892.000,1892.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
15890,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,7/6/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,11567.000,11567.000,0.000,Plus Materials                                    ,,975.8388,975.8300,0.0000,,,1,1,
15891,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,SHREDDER (1ST SHIFT),Posted,7/6/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,1185.000,1185.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,0,
15892,7/2/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,7/6/2026 12:00:00 AM,5:49AM,,18:11:00,LBS    ,3691.000,3691.000,0.000,Plus Materials                                    ,,36.9100,36.9100,0.0000,,,0,0,
15898,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (2ND SHIFT),Posted,7/6/2026 12:00:00 AM,5:50AM,,18:10:00,LBS    ,4786.000,4786.000,0.000,Plus Materials                                    ,,373.2000,373.1900,0.0000,,,0,0,
15900,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,7/6/2026 12:00:00 AM,5:50AM,,18:10:00,LBS    ,9635.000,9635.000,0.000,Plus Materials                                    ,,1045.9671,1045.9700,0.0000,,,0,0,
15902,7/2/2026 12:00:00 AM,Monroe Processing Warehouse                  ,COMPLETED,SHREDDER/GRINDER (2ND SHIFT),Posted,7/6/2026 12:00:00 AM,5:51AM,,18:09:00,LBS    ,5575.000,5575.000,0.000,Plus Materials                                    ,,587.0606,587.0700,0.0000,,,0,0,
15908,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (3RD SHIFT),Posted,7/6/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,6908.000,6908.000,0.000,Plus Materials                                    ,,464.8800,464.8800,0.0000,,,7,0,
15910,7/2/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (3RD SHIFT),Posted,7/6/2026 12:00:00 AM,5:52AM,,18:08:00,LBS    ,5920.000,5920.000,0.000,Plus Materials                                    ,,452.2800,452.2800,0.0000,,,0,0,
15914,7/2/2026 12:00:00 AM,PRN Southeast                                ,COMPLETED,BALER,Posted,7/6/2026 12:00:00 AM,5:53AM,,18:07:00,LBS    ,3005.000,2470.000,535.000,Plus Materials                                    ,,172.7600,323.0100,150.2500,,,9,1,
15915,7/6/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,7/7/2026 12:00:00 AM,5:12AM,,18:48:00,LBS    ,7787.000,7787.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,0,7,
15919,7/6/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,EXTRUDER (1ST SHIFT),Posted,7/7/2026 12:00:00 AM,5:13AM,,18:47:00,LBS    ,9546.000,9546.000,0.000,Plus Materials                                    ,,432.8100,432.8100,0.0000,,,0,0,
15920,7/6/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GREEN MAX (NEW) (1ST SHIFT),Posted,7/7/2026 12:00:00 AM,5:13AM,,18:47:00,LBS    ,638.000,638.000,0.000,Plus Materials                                    ,,0.0000,0.0000,0.0000,,,1,0,
15921,7/6/2026 12:00:00 AM,Plus Monroe Warehouse                        ,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,7/7/2026 12:00:00 AM,5:13AM,,18:47:00,LBS    ,6220.000,6220.000,0.000,Plus Materials                                    ,,704.5324,704.5400,0.0000,,,0,0,
